zip_code,city,street,house_no,location_type,location_name,id,closure_periods,opening_hours,latitude,longitude
10435,Berlin,Sredzkistr.,29,RETAIL_OUTLET,Kiez Kiosk,4317608,[],Mo: 10:00-22:45; Tu: 10:00-22:45; We: 10:00-22:45; Th: 10:00-22:45; Fr: 10:00-22:45; Sa: 10:00-22:45; Su: 13:00-20:00,52.5385032,13.4168586
10961,Berlin,Blücherstr.,15,RETAIL_OUTLET,Kiosk,4308421,[],Mo: 08:00-19:00; Tu: 08:00-19:00; We: 08:00-19:00; Th: 08:00-19:00; Fr: 08:00-19:00; Sa: 08:00-19:00,52.4952186,13.3972017
10405,Berlin,Prenzlauer Allee,51,RETAIL_OUTLET,Melis Getränke,4292208,[],Mo: 07:30-22:30; Tu: 07:30-22:30; We: 07:30-22:30; Th: 07:30-22:30; Fr: 07:30-22:30; Sa: 07:30-22:30,52.5379209,13.4239386
13355,Berlin,Ackerstr.,118,RETAIL_OUTLET,Kiezshop am Ackerplatz,4324472,[],Mo: 09:00-18:00; Tu: 09:00-18:00; We: 09:00-18:00; Th: 09:00-18:00; Fr: 09:00-18:00; Sa: 09:00-18:00,52.5374724,13.3853992
10557,Berlin,Europaplatz,1,RETAIL_OUTLET,Relay,4316213,[],Mo: 09:00-19:00; Tu: 09:00-19:00; We: 09:00-19:00; Th: 09:00-19:00; Fr: 09:00-19:00; Sa: 10:00-16:00,52.5256753,13.3684737
10435,Berlin,Danziger Str.,41,RETAIL_OUTLET,Kiez Kiosk,4338189,[],Mo: 08:00-24:00; Tu: 08:00-24:00; We: 08:00-24:00; Th: 08:00-24:00; Fr: 08:00-24:00; Sa: 08:00-24:00,52.5402127,13.4191934
10407,Berlin,Danziger Str.,122,RETAIL_OUTLET,Central Food + Getränkemarkt,4332560,[],Mo: 08:00-20:00; Tu: 08:00-20:00; We: 08:00-20:00; Th: 08:00-20:00; Fr: 08:00-20:00; Sa: 09:00-20:00,52.5356067,13.4334958
10407,Berlin,Danziger Str.,176,RETAIL_OUTLET,Getränke Tabak Lebensmittel,4327392,[],Mo: 10:00-19:00; Tu: 10:00-19:00; We: 10:00-19:00; Th: 10:00-19:00; Fr: 10:00-19:00; Sa: 10:00-18:00,52.532245,13.4404143
10557,Berlin,Lehrter Str.,1,RETAIL_OUTLET,Lehrter Shop,4103143,[],Mo: 06:00-23:00; Tu: 06:00-23:00; We: 06:00-23:00; Th: 06:00-23:00; Fr: 06:00-23:00; Sa: 07:00-23:00; Su: 08:00-18:00,52.5261154,13.3653025
10967,Berlin,Graefestr.,73,RETAIL_OUTLET,Presse-Tabek-Post-Lotto,4329384,[],Mo: 09:00-21:00; Tu: 09:00-21:00; We: 09:00-21:00; Th: 09:00-21:00; Fr: 09:00-21:00; Sa: 09:00-21:00,52.4921511,13.4173403
10437,Berlin,Schönhauser Allee,135,RETAIL_OUTLET,Kiosk,4098107,"[{'type': 'holiday', 'fromDate': '2025-05-27T00:00:00+0200', 'toDate': '2025-10-01T23:59:59+0200'}, {'type': 'closure', 'fromDate': '2025-10-02T00:00:00+0200', 'toDate': None}]",Mo: holiday-holiday; Tu: holiday-holiday; We: holiday-holiday; Th: holiday-holiday; Fr: holiday-holiday; Sa: holiday-holiday,52.5439621,13.4120056
13355,Berlin,Brunnenstr.,78,RETAIL_OUTLET,Kiosk,4111098,[],Mo: 06:00-18:00; Tu: 06:00-18:00; We: 06:00-18:00; Th: 06:00-18:00; Fr: 06:00-18:00; Sa: 07:00-13:00,52.543149,13.3926426
10961,Berlin,Mehringdamm,38,RETAIL_OUTLET,Kiosk Lotto,4131844,[],Mo: 08:00-20:00; Tu: 08:00-20:00; We: 08:00-20:00; Th: 08:00-20:00; Fr: 08:00-20:00; Sa: 09:00-20:00; Su: 09:00-20:00,52.4933016,13.3875628
